Artikelen                                ,FIELD2  ,FIELD3                     ,FIELD4,FIELD5    ,FIELD6      ,FIELD7      ,FIELD8  ,FIELD9    ,FIELD10           ,FIELD11       ,FIELD12      ,FIELD13
Tijdstip geëxporteerd: 11-9-2018 10:57:49,        ,                           ,      ,          ,            ,            ,        ,          ,                  ,              ,             ,
A.Omschrijving                           ,A.Nummer,Tekst                      ,Aantal,Prijs     ,Bedrag incl.,Bedrag excl.,BTW-code,BTW-tarief,Kortingspercentage,Kortingsbedrag,Omzetgroepnr.,Omzetgroep
Amstel fluit                             ,159     ,Amstel fluit               ,6     ,"2,50"    ,"15,00"     ,"12,41"     ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Amstel vaas                              ,160     ,Amstel vaas                ,7     ,"2,80"    ,"19,60"     ,"16,17"     ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Brand fluit                              ,162     ,Brand fluit                ,69    ,"2,60"    ,"179,40"    ,"148,35"    ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Brand vaas                               ,163     ,Brand vaas                 ,1.137 ,"3,00"    ,"3.411,00"  ,"2.819,76"  ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Brand 0.5l                               ,164     ,Brand 0.5l                 ,8     ,"6,00"    ,"48,00"     ,"39,68"     ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Brand 0.5l                               ,164     ,Brand 0.5l                 ,4     ,"7,00"    ,"28,00"     ,"23,14"     ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Brand up                                 ,165     ,Brand up                   ,7     ,"4,00"    ,"28,00"     ,"23,16"     ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Brand weizen                             ,166     ,Brand weizen               ,54    ,"4,00"    ,"216,00"    ,"178,67"    ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Brand IPA                                ,167     ,Brand IPA                  ,54    ,"4,00"    ,"216,00"    ,"178,68"    ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Brand imperator                          ,168     ,Brand imperator            ,53    ,"4,00"    ,"212,00"    ,"175,40"    ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Brand bock                               ,169     ,Brand bock                 ,0     ,"4,00"    ,"0,00"      ,"0,00"      ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
De koninck                               ,170     ,De koninck                 ,14    ,"3,70"    ,"51,80"     ,"42,82"     ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Wieckse witte                            ,171     ,Wieckse witte              ,17    ,"3,70"    ,"62,90"     ,"52,01"     ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Wieckse rose                             ,172     ,Wieckse rose               ,1     ,"3,70"    ,"3,70"      ,"3,06"      ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Amstel 0.0                               ,173     ,Amstel 0.0                 ,83    ,"3,50"    ,"290,50"    ,"273,90"    ,1       ,6%        ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Amstel bock                              ,174     ,Amstel bock                ,2     ,"3,70"    ,"7,40"      ,"6,12"      ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Amstel radler                            ,175     ,Amstel radler              ,25    ,"3,70"    ,"92,50"     ,"76,50"     ,2       ,21%       ,"0,00"            ,"0,00"        ,17           ,Bieren Meierij
Amstel vaas                              ,177     ,Amstel vaas                ,0     ,"2,80"    ,"0,00"      ,"0,00"      ,2       ,21%       ,"0,00"            ,"0,00"        ,18           ,Bieren Bokkesteeg
"Glas wit 4,50"                          ,194     ,"Glas wit 4,50"            ,574   ,"4,50"    ,"2.583,00"  ,"2.135,29"  ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Glas wit 4,75"                          ,195     ,"Glas wit 4,75"            ,495   ,"4,75"    ,"2.351,25"  ,"1.944,31"  ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Glas rood 4,50"                         ,197     ,"Glas rood 4,50"           ,380   ,"4,50"    ,"1.710,00"  ,"1.413,60"  ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Glas rood 4,75"                         ,198     ,"Glas rood 4,75"           ,341   ,"4,75"    ,"1.619,75"  ,"1.339,40"  ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Glas rosé 4,50"                         ,200     ,"Glas rosé 4,50"           ,42    ,"4,50"    ,"189,00"    ,"156,24"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Glas rosé 4,75"                         ,201     ,"Glas rosé 4,75"           ,103   ,"4,75"    ,"489,25"    ,"404,63"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Fles wit 27,00"                         ,212     ,"Fles wit 27,00"           ,32    ,"27,00"   ,"864,00"    ,"713,94"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Fles wit 28,50"                         ,213     ,"Fles wit 28,50"           ,48    ,"28,50"   ,"1.368,00"  ,"1.130,41"  ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
